policy,group,n,base_rate,threshold,selection_rate,FPR,TPR,precision,mean_pred_flagged
global threshold,C,50438,0.12797890479400453,0.7252586003387556,0.0674491454855466,0.009117158902303163,0.4649109217660728,0.8821281599059377,0.9235017856321672
equal selection rate,C,50438,0.12797890479400453,0.9672291770137506,0.0280145921725683,0.0018870927403769639,0.20604182804027885,0.9412597310686482,0.9863787810414067
equal FPR,C,50438,0.12797890479400453,0.9469621811203182,0.03560807327808398,0.0028420071391219333,0.258869093725794,0.9304008908685969,0.9804255338183006
global threshold,H,11639,0.0986339032562935,0.7252586003387556,0.029212131626428387,0.002764274139738824,0.27090592334494773,0.9147058823529411,0.9008391661699974
equal selection rate,H,11639,0.0986339032562935,0.7417838911694872,0.028009279147693102,0.002573634543894767,0.2604529616724739,0.9171779141104295,0.9079583218097345
equal FPR,H,11639,0.0986339032562935,0.7226150231238153,0.029383967694819144,0.0028595939376608523,0.27177700348432055,0.9122807017543859,0.8998069827396833
global threshold,R,16950,0.07008849557522123,0.7252586003387556,0.03445427728613569,0.002093642938713361,0.46380471380471383,0.9434931506849316,0.931218535460231
equal selection rate,R,16950,0.07008849557522123,0.860550835868597,0.028023598820058997,0.0010150996066489023,0.38636363636363635,0.9663157894736842,0.9630317304515338
equal FPR,R,16950,0.07008849557522123,0.6548048762500124,0.036991150442477874,0.002854967643700038,0.4898989898989899,0.9282296650717703,0.9146768793682211
global threshold,S,8464,0.06935255198487712,0.7252586003387556,0.008861058601134215,0.00012695188523549576,0.1260647359454855,0.9866666666666667,0.9017109878468561
equal selection rate,S,8464,0.06935255198487712,0.2263455467803877,0.028119092627599245,0.01079091024501714,0.2606473594548552,0.6428571428571429,0.5635860078779172
equal FPR,S,8464,0.06935255198487712,0.41765530717275023,0.0165406427221172,0.0029198933604164022,0.19931856899488926,0.8357142857142857,0.743380951326341
global threshold,W,355414,0.020812348416213204,0.7252586003387556,8.159498500340448e-05,1.1493691400132752e-05,0.003379748546708125,0.8620689655172413,0.7962052904052631
equal selection rate,W,355414,0.020812348416213204,0.05046566984298606,0.02801240243772052,0.023162661594117527,0.25618493984047586,0.1903374849337083,0.1240532604641606
equal FPR,W,355414,0.020812348416213204,0.18515132023924344,0.0044286381515640915,0.002824574661582624,0.07989725564418007,0.3754764930114358,0.3168874963344856
